paper_id,title,year,venue,survey_role,survey_topics,survey_reason,official_track,pdf_link,official_page,card_path
CVPR2026-1239,Depth Hypothesis Guided Iterative Refinement for Event-Image Monocular Depth Estimation,2026,CVPR,background,pose_depth_segmentation;efficiency_hardware,HypoDepth is non-spiking event-image depth background with real-time efficiency.,,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_Depth_Hypothesis_Guided_Iterative_Refinement_for_Event-Image_Monocular_Depth_Estimation_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/html/Liu_Depth_Hypothesis_Guided_Iterative_Refinement_for_Event-Image_Monocular_Depth_Estimation_CVPR_2026_paper.html,01-papers-by-conference/CVPR2026/B/2026-CVPR-B-depth-hypothesis-guided-iterative-refinement-for-event-image-monocular-depth-estimation.md
ICLR2026-3533,Difference Predictive Coding for Training Spiking Neural Networks,2026,ICLR,background,architecture;learning;efficiency_hardware,"DiffPC replaces dense predictive-coding messages with sparse ternary spikes for local, communication-efficient SNN training.",,https://proceedings.iclr.cc/paper_files/paper/2026/file/aa31dc84098add7dd2ffdd20646f2043-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/aa31dc84098add7dd2ffdd20646f2043-Abstract-Conference.html,01-papers-by-conference/ICLR2026/C/ICLR2026-3533.md
ICLR2026-2705,Distribution-Aware Multi-Granularity Phase Coding: Towards Lower Conversion Error for Spike-Driven Large Language Models,2026,ICLR,background,architecture;learning;efficiency_hardware,"Multi-granularity phase coding reduces ANN-to-SNN conversion error for language models and supplies conversion background, not event-camera integration.",,https://proceedings.iclr.cc/paper_files/paper/2026/file/81858886d6a6f22c2e555e9d8f5172d9-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/81858886d6a6f22c2e555e9d8f5172d9-Abstract-Conference.html,01-papers-by-conference/ICLR2026/C/ICLR2026-2705.md
CVPR2026-3157,"DSERT-RoLL: Robust Multi-Modal Perception for Diverse Driving Conditions with Stereo Event-RGB-Thermal Cameras, 4D Radar, and Dual-LiDAR",2026,CVPR,background,datasets_benchmarks;detection;robustness_open_challenges,"DSERT-RoLL is an event-inclusive multimodal driving benchmark, useful for event-side evaluation but non-spiking.",,https://openaccess.thecvf.com/content/CVPR2026/papers/Cho_DSERT-RoLL_Robust_Multi-Modal_Perception_for_Diverse_Driving_Conditions_with_Stereo_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/html/Cho_DSERT-RoLL_Robust_Multi-Modal_Perception_for_Diverse_Driving_Conditions_with_Stereo_CVPR_2026_paper.html,01-papers-by-conference/CVPR2026/B/2026-CVPR-B-dsert-roll-robust-multi-modal-perception-for-diverse-driving-conditions-with-stereo-event-.md
CVPR2026-2053,E-3DPSM: A State Machine for Event-based Egocentric 3D Human Pose Estimation,2026,CVPR,background,pose_depth_segmentation;temporal_modeling,E-3DPSM provides event-side continuous state-machine pose modeling but no SNN.,,https://openaccess.thecvf.com/content/CVPR2026/papers/Deshmukh_E-3DPSM_A_State_Machine_for_Event-based_Egocentric_3D_Human_Pose_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/html/Deshmukh_E-3DPSM_A_State_Machine_for_Event-based_Egocentric_3D_Human_Pose_CVPR_2026_paper.html,01-papers-by-conference/CVPR2026/B/2026-CVPR-B-e-3dpsm-a-state-machine-for-event-based-egocentric-3d-human-pose-estimation.md
ICLR2026-3142,EA3D: Event-Augmented 3D Diffusion for Generalizable Novel View Synthesis,2026,ICLR,background,representation_slicing;reconstruction_restoration;datasets_benchmarks,EA3D is non-spiking event/RGB novel-view synthesis and dataset background.,,https://proceedings.iclr.cc/paper_files/paper/2026/file/959f70ee50044bed305e48e3484005a7-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/959f70ee50044bed305e48e3484005a7-Abstract-Conference.html,01-papers-by-conference/ICLR2026/B/ICLR2026-3142.md
CVPR2026-3467,EV-CGNet: Co-visible Focused 3D-guided 2D Event Keypoint Detection Network,2026,CVPR,background,representation_slicing;pose_depth_segmentation,EV-CGNet uses event points to guide event-frame keypoint prototypes and matching. It is non-spiking sparse/dense representation background outside Survey Core.,,https://openaccess.thecvf.com/content/CVPR2026/papers/Gao_EV-CGNet_Co-visible_Focused_3D-guided_2D_Event_Keypoint_Detection_Network_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/html/Gao_EV-CGNet_Co-visible_Focused_3D-guided_2D_Event_Keypoint_Detection_Network_CVPR_2026_paper.html,01-papers-by-conference/CVPR2026/B/2026-CVPR-B-ev-cgnet-co-visible-focused-3d-guided-2d-event-keypoint-detection-network.md
CVPR2026-0881,Event Stream Filtering via Probability Flux Estimation,2026,CVPR,background,robustness_open_challenges;representation_slicing;datasets_benchmarks,"EDFilter contributes physically interpretable event noise filtering and a microsecond ground-truth dataset, without SNNs.",,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_Event_Stream_Filtering_via_Probability_Flux_Estimation_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/html/Chen_Event_Stream_Filtering_via_Probability_Flux_Estimation_CVPR_2026_paper.html,01-papers-by-conference/CVPR2026/B/2026-CVPR-B-event-stream-filtering-via-probability-flux-estimation.md
CVPR2026-3419,Event-Based Motion Deblurring Using Task-Oriented 3D Gaussian Event Representations,2026,CVPR,background,representation_slicing;reconstruction_restoration,"Learned 3D Gaussian event aggregation is event-side representation background for deblurring, but non-spiking.",,https://openaccess.thecvf.com/content/CVPR2026/papers/Xue_Event-Based_Motion_Deblurring_Using_Task-Oriented_3D_Gaussian_Event_Representations_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/html/Xue_Event-Based_Motion_Deblurring_Using_Task-Oriented_3D_Gaussian_Event_Representations_CVPR_2026_paper.html,01-papers-by-conference/CVPR2026/B/2026-CVPR-B-event-based-motion-deblurring-using-task-oriented-3d-gaussian-event-representations.md
CVPR2026-2084,Event6D: Event-based Novel Object 6D Pose Tracking,2026,CVPR,background,tracking;pose_depth_segmentation;datasets_benchmarks,Event6D supplies high-frequency novel-object pose tracking and benchmark evidence without SNNs.,,https://openaccess.thecvf.com/content/CVPR2026/papers/Kang_Event6D_Event-based_Novel_Object_6D_Pose_Tracking_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/html/Kang_Event6D_Event-based_Novel_Object_6D_Pose_Tracking_CVPR_2026_paper.html,01-papers-by-conference/CVPR2026/B/2026-CVPR-B-event6d-event-based-novel-object-6d-pose-tracking.md
ICLR2026-2357,EventFlash: Towards Efficient MLLMs for Event-Based Vision,2026,ICLR,background,representation_slicing;temporal_modeling;efficiency_hardware;datasets_benchmarks,"EventFlash provides efficient long-range event-stream MLLM processing and a large instruction dataset, but no SNN.",,https://proceedings.iclr.cc/paper_files/paper/2026/file/716eeb39cc7ac74cbbf38da3e877f34f-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/716eeb39cc7ac74cbbf38da3e877f34f-Abstract-Conference.html,01-papers-by-conference/ICLR2026/B/ICLR2026-2357.md
CVPR2026-1824,EventHub: Data Factory for Generalizable Event-Based Stereo Networks without Active Sensors,2026,CVPR,background,pose_depth_segmentation;learning;datasets_benchmarks,EventHub supplies scalable event-stereo data distillation and generalization background without SNNs.,,https://openaccess.thecvf.com/content/CVPR2026/papers/Bartolomei_EventHub_Data_Factory_for_Generalizable_Event-Based_Stereo_Networks_without_Active_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/html/Bartolomei_EventHub_Data_Factory_for_Generalizable_Event-Based_Stereo_Networks_without_Active_CVPR_2026_paper.html,01-papers-by-conference/CVPR2026/B/2026-CVPR-B-eventhub-data-factory-for-generalizable-event-based-stereo-networks-without-active-sensors.md
CVPR2026-3325,FlashCap: Millisecond-Accurate Human Motion Capture via Flashing LEDs and Event-Based Vision,2026,CVPR,background,pose_depth_segmentation;datasets_benchmarks;efficiency_hardware,FlashCap supplies millisecond-resolution event/RGB/LiDAR/IMU motion capture and an event-RGB pose baseline. It is task and dataset background without an SNN.,,https://openaccess.thecvf.com/content/CVPR2026/papers/Wu_FlashCap_Millisecond-Accurate_Human_Motion_Capture_via_Flashing_LEDs_and_Event-Based_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/html/Wu_FlashCap_Millisecond-Accurate_Human_Motion_Capture_via_Flashing_LEDs_and_Event-Based_CVPR_2026_paper.html,01-papers-by-conference/CVPR2026/B/2026-CVPR-B-flashcap-millisecond-accurate-human-motion-capture-via-flashing-leds-and-event-based-visio.md
ICLR2026-2691,Fractional-Order Spiking Neural Network,2026,ICLR,background,architecture;temporal_modeling;efficiency_hardware;robustness_open_challenges,"Fractional-order membrane dynamics model non-Markovian long-term dependencies in generic SNNs and report accuracy, energy, and noise robustness.",,https://proceedings.iclr.cc/paper_files/paper/2026/file/80b4df828ee59926a5f2422f1c072d88-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/80b4df828ee59926a5f2422f1c072d88-Abstract-Conference.html,01-papers-by-conference/ICLR2026/C/ICLR2026-2691.md
CVPR2026-2682,From Contrast to Consistency: Rethinking Event-based Continuous-Time Optical Flow Estimation,2026,CVPR,background,temporal_modeling;learning,Continuous-time event flow with structural consistency is non-spiking temporal-learning background.,,https://openaccess.thecvf.com/content/CVPR2026/papers/Hu_From_Contrast_to_Consistency_Rethinking_Event-based_Continuous-Time_Optical_Flow_Estimation_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/html/Hu_From_Contrast_to_Consistency_Rethinking_Event-based_Continuous-Time_Optical_Flow_Estimation_CVPR_2026_paper.html,01-papers-by-conference/CVPR2026/B/2026-CVPR-B-from-contrast-to-consistency-rethinking-event-based-continuous-time-optical-flow-estimatio.md
ICLR2026-2045,LiFR-Seg: Anytime High-Frame-Rate Segmentation via Event-Guided Propagation,2026,ICLR,background,pose_depth_segmentation;temporal_modeling,Event-guided high-frame-rate segmentation is event-camera task background without spiking computation.,,https://proceedings.iclr.cc/paper_files/paper/2026/file/620221d506055afba5ee7ab895277233-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/620221d506055afba5ee7ab895277233-Abstract-Conference.html,01-papers-by-conference/ICLR2026/B/ICLR2026-2045.md
CVPR2026-0806,"LiREC-Net: A Target-Free and Learning-Based Network for LiDAR, RGB, and Event Calibration",2026,CVPR,background,datasets_benchmarks;robustness_open_challenges,"LiREC-Net explicitly calibrates LiDAR, RGB, and event data in one target-free network. It provides non-spiking sensor-alignment and deployment background, not intersection-Core evidence.",,https://openaccess.thecvf.com/content/CVPR2026/papers/Dash_LiREC-Net_A_Target-Free_and_Learning-Based_Network_for_LiDAR_RGB_and_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/html/Dash_LiREC-Net_A_Target-Free_and_Learning-Based_Network_for_LiDAR_RGB_and_CVPR_2026_paper.html,01-papers-by-conference/CVPR2026/B/2026-CVPR-B-lirec-net-a-target-free-and-learning-based-network-for-lidar-rgb-and-event-calibration.md
ICLR2026-5039,"Many Eyes, One Mind: Temporal Multi-Perspective and Progressive Distillation for Spiking Neural Networks",2026,ICLR,background,learning;temporal_modeling,MEOM uses multi-perspective temporal knowledge distillation to improve SNN predictions across truncated timesteps.,,https://proceedings.iclr.cc/paper_files/paper/2026/file/f04957cc30544d62386f402e1da0b001-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/f04957cc30544d62386f402e1da0b001-Abstract-Conference.html,01-papers-by-conference/ICLR2026/C/ICLR2026-5039.md
ICLR2026-4202,Maximizing Asynchronicity in Event-based Neural Networks,2026,ICLR,background,event_to_spike;representation_slicing;temporal_modeling;efficiency_hardware,"EVA learns asynchronous event-by-event features from event cameras, but is an A2S framework rather than an SNN.",,https://proceedings.iclr.cc/paper_files/paper/2026/file/c8ff6807d1f362bb22b4f0be7b66e9ca-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/c8ff6807d1f362bb22b4f0be7b66e9ca-Abstract-Conference.html,01-papers-by-conference/ICLR2026/B/ICLR2026-4202.md
CVPR2026-2128,MER-Tracker: Towards High-Speed 3D Point Tracking via Multi-View Event-RGB Hybrid Cameras,2026,CVPR,background,tracking;datasets_benchmarks;temporal_modeling,MER-Tracker contributes high-speed event-RGB 3D tracking and datasets but no SNN.,,https://openaccess.thecvf.com/content/CVPR2026/papers/Chang_MER-Tracker_Towards_High-Speed_3D_Point_Tracking_via_Multi-View_Event-RGB_Hybrid_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/html/Chang_MER-Tracker_Towards_High-Speed_3D_Point_Tracking_via_Multi-View_Event-RGB_Hybrid_CVPR_2026_paper.html,01-papers-by-conference/CVPR2026/B/2026-CVPR-B-mer-tracker-towards-high-speed-3d-point-tracking-via-multi-view-event-rgb-hybrid-cameras.md
CVPR2026-0226,Moving Border Ownership for Event-based Motion Segmentation,2026,CVPR,background,pose_depth_segmentation;robustness_open_challenges,Moving border ownership supplies event-side motion-segmentation and zero-shot generalization evidence without SNNs.,,https://openaccess.thecvf.com/content/CVPR2026/papers/Hua_Moving_Border_Ownership_for_Event-based_Motion_Segmentation_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/html/Hua_Moving_Border_Ownership_for_Event-based_Motion_Segmentation_CVPR_2026_paper.html,01-papers-by-conference/CVPR2026/B/2026-CVPR-B-moving-border-ownership-for-event-based-motion-segmentation.md
ICLR2026-1982,Neural Dynamics Self-Attention for Spiking Transformers,2026,ICLR,background,architecture;efficiency_hardware,LRF-Dyn replaces explicit spiking-attention matrices with localized charge-fire-reset dynamics to reduce inference memory.,,https://proceedings.iclr.cc/paper_files/paper/2026/file/5fc6b31407972f3226464a9178e93da7-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/5fc6b31407972f3226464a9178e93da7-Abstract-Conference.html,01-papers-by-conference/ICLR2026/C/ICLR2026-1982.md
CVPR2026-0111,On the Role of Temporal Granularity in the Robustness of Spiking Neural Networks,2026,CVPR,background,robustness_open_challenges;temporal_modeling,Temporal-granularity robustness is useful generic SNN analysis without event-camera integration.,,https://openaccess.thecvf.com/content/CVPR2026/papers/Xu_On_the_Role_of_Temporal_Granularity_in_the_Robustness_of_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/html/Xu_On_the_Role_of_Temporal_Granularity_in_the_Robustness_of_CVPR_2026_paper.html,01-papers-by-conference/CVPR2026/C/2026-CVPR-C-on-the-role-of-temporal-granularity-in-the-robustness-of-spiking-neural-networks.md
ICLR2026-4592,Online Pseudo-Zeroth-Order Training of Neuromorphic Spiking Neural Networks,2026,ICLR,background,learning;efficiency_hardware,"OPZO provides online, backpropagation-free spatial credit assignment aimed at on-chip SNN training.",,https://proceedings.iclr.cc/paper_files/paper/2026/file/db0eac6747e3631eb91095cd76065611-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/db0eac6747e3631eb91095cd76065611-Abstract-Conference.html,01-papers-by-conference/ICLR2026/C/ICLR2026-4592.md
ICLR2026-3050,Otters: An Energy-Efficient Spiking Transformer via Optical Time-to-First-Spike Encoding,2026,ICLR,background,event_to_spike;architecture;efficiency_hardware,"Otters uses optical time-to-first-spike encoding in an efficient Spiking Transformer, providing spike-coding background without event-camera input.",,https://proceedings.iclr.cc/paper_files/paper/2026/file/9200d97ca2bf3a26db7b591844014f00-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/9200d97ca2bf3a26db7b591844014f00-Abstract-Conference.html,01-papers-by-conference/ICLR2026/C/ICLR2026-3050.md
ICLR2026-4085,PredNext: Explicit Cross-View Temporal Prediction for Unsupervised Learning in Spiking Neural Networks,2026,ICLR,background,learning;temporal_modeling,PredNext develops cross-view future prediction for unsupervised temporal learning in SNNs on conventional video datasets.,,https://proceedings.iclr.cc/paper_files/paper/2026/file/c3d4627195d9e1753cf12c9586e8e60f-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/c3d4627195d9e1753cf12c9586e8e60f-Abstract-Conference.html,01-papers-by-conference/ICLR2026/C/ICLR2026-4085.md
ICLR2026-3392,Random Spiking Neural Networks are Stable and Spectrally Simple,2026,ICLR,background,architecture;robustness_open_challenges,"The paper analyzes stability and Fourier-spectrum simplicity of random LIF-SNN Boolean functions; this is theoretical SNN robustness, not an event-side FFT method.",,https://proceedings.iclr.cc/paper_files/paper/2026/file/a2ec17e328738933b6cd8ae413d17542-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2026/hash/a2ec17e328738933b6cd8ae413d17542-Abstract-Conference.html,01-papers-by-conference/ICLR2026/C/ICLR2026-3392.md
CVPR2026-3426,Reconstructing Spiking Neural Networks Using a Single Neuron with Autapses,2026,CVPR,background,architecture;temporal_modeling;efficiency_hardware,Single-neuron temporal multiplexing is unusual generic SNN architecture background; event-based benchmarks are evaluation only.,,https://openaccess.thecvf.com/content/CVPR2026/papers/Cai_Reconstructing_Spiking_Neural_Networks_Using_a_Single_Neuron_with_Autapses_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/html/Cai_Reconstructing_Spiking_Neural_Networks_Using_a_Single_Neuron_with_Autapses_CVPR_2026_paper.html,01-papers-by-conference/CVPR2026/C/2026-CVPR-C-reconstructing-spiking-neural-networks-using-a-single-neuron-with-autapses.md
