paper_key,canonical_title,authors,year,venue,doi,official_url,aliases,in_current_corpus,repository_path,metadata_source,metadata_verification_status,notes
2024-CVPR-pepnet-event-camera-6dofs-pose-relocalization,A Simple and Effective Point-based Network for Event Camera 6-DOFs Pose Relocalization,Hongwei Ren; Jiadong Zhu; Yue Zhou; Haotian Fu; Yulong Huang; Bojun Cheng,2024,CVPR,Needs further check,Needs further check,PEPNet,yes,06-reading-summaries/v2/papers/2024-CVPR-a-simple-and-effective-point-based-network-for-event-camera-6-DOFs-pose-relocalization-v2.md,source PDF front matter,verified_from_pdf,NA
2024-CVPR-are-conventional-snns-really-efficient,Are Conventional SNNs Really Efficient? A Perspective from Network Quantization,Guobin Shen; Dongcheng Zhao; Tenglong Li; Jindong Li; Yi Zeng,2024,CVPR,Needs further check,https://openaccess.thecvf.com/content/CVPR2024/html/Shen_Are_Conventional_SNNs_Really_Efficient_A_Perspective_from_Network_Quantization_CVPR_2024_paper.html,QSNN | Bit Budget,yes,06-reading-summaries/v2/papers/2024-CVPR-are-conventional-snns-really-efficient-a-perspective-from-network-quantization-v2.md,source PDF front matter + repository paper card,verified_from_pdf,NA
2024-CVPR-sfod,SFOD: Spiking Fusion Object Detector,Yimeng Fan; Wei Zhang; Changsong Liu; Mingyang Li; Wenrui Lu,2024,CVPR,Needs further check,Needs further check,SFOD,yes,06-reading-summaries/v2/papers/2024-CVPR-sfod-spiking-fusion-object-detector-v2.md,source PDF front matter,verified_from_pdf,NA
2024-CVPR-state-space-models-event-cameras,State Space Models for Event Cameras,Nikola Zubić; Daniel Gehrig; Mathias Gehrig; Davide Scaramuzza,2024,CVPR,Needs further check,Needs further check,NA,yes,06-reading-summaries/v2/papers/2024-CVPR-state-space-models-for-event-cameras-v2.md,source PDF front matter,verified_from_pdf,NA
2024-ECCV-dailydvs-200,DailyDVS-200: A Comprehensive Benchmark Dataset for Event-Based Action Recognition,Qi Wang; Zhou Xu; Yuming Lin; Jingtao Ye; Hongsheng Li; Guangming Zhu; Syed Afaq Ali Shah; Mohammed Bennamoun; Liang Zhang,2024,ECCV,Needs further check,Needs further check,DailyDVS-200,yes,06-reading-summaries/v2/papers/2024-ECCV-dailydvs-200-action-recognition-v2.md,source PDF front matter,verified_from_pdf,NA
2024-ECCV-eas-snn-adaptive-sampling-detection,EAS-SNN: End-to-End Adaptive Sampling and Representation for Event-based Detection with Recurrent Spiking Neural Networks,Ziming Wang; Zhiwen Wang; Hanyu Li; Li Qin; Ronghui Jiang; Dengpan Ma; Huajin Tang,2024,ECCV,Needs further check,Needs further check,EAS-SNN,yes,06-reading-summaries/v2/papers/2024-ECCV-eAS-sNN-end-to-end-adaptive-sampling-and-representation-for-event-based-detection-with-recurrent-spiking-neural-networks-v2.md,source PDF front matter,verified_from_pdf,NA
2024-ECCV-efficient-event-dense-representation-adaptive-memory,Efficient Learning of Event-based Dense Representation using Hierarchical Memories with Adaptive Update,Uday Kamal; Saibal Mukhopadhyay,2024,ECCV,Needs further check,Needs further check,NA,yes,06-reading-summaries/v2/papers/2024-ECCV-efficient-learning-of-event-based-dense-representation-using-hierarchical-memories-with-adaptive-update-v2.md,source PDF front matter,verified_from_pdf,NA
2024-ECCV-direct-adversarial-attacks-raw-event-data,Exploring Vulnerabilities in Spiking Neural Networks: Direct Adversarial Attacks on Raw Event Data,Yanmeng Yao; Xiaohan Zhao; Bin Gu,2024,ECCV,Needs further check,Needs further check,NA,yes,06-reading-summaries/v2/papers/2024-ECCV-exploring-vulnerabilities-in-spiking-neural-networks-direct-adversarial-attacks-on-raw-event-data-v2.md,source PDF front matter,verified_from_pdf,NA
2024-ECCV-redir,REDIR: Refocus-free Event-based De-occlusion Image Reconstruction,Qi Guo; Hailong Shi; Huan Li; Jinsheng Xiao; Xingyu Gao,2024,ECCV,Needs further check,Needs further check,REDIR,yes,06-reading-summaries/v2/papers/2024-ECCV-redir-refocus-free-event-based-de-occlusion-image-reconstruction-v2.md,source PDF front matter,verified_from_pdf,NA
2024-ECCV-spike-temporal-latent-representation,Spike-Temporal Latent Representation for Energy-Efficient Event-to-Video Reconstruction,Jianxiong Tang; Jian-Huang Lai; Lingxiao Yang; Xiaohua Xie,2024,ECCV,Needs further check,Needs further check,STLR,yes,06-reading-summaries/v2/papers/2024-ECCV-spike-temporal-latent-representation-for-energy-efficient-event-to-video-reconstruction-v2.md,source PDF front matter,verified_from_pdf,NA
2024-ICLR-eventrpg,EventRPG: Event Data Augmentation with Relevance Propagation Guidance,Mingyuan Sun; Donghao Zhang; Zongyuan Ge; Jiaxu Wang; Jia Li; Zheng Fang; Renjing Xu,2024,ICLR,Needs further check,Needs further check,EventRPG,yes,06-reading-summaries/v2/papers/2024-ICLR-eventrpg-event-data-augmentation-with-relevance-propagation-guidance-v2.md,source PDF front matter,verified_from_pdf,NA
2024-ICLR-spikepoint,SpikePoint: An Efficient Point-based Spiking Neural Network for Event Cameras Action Recognition,Hongwei Ren; Yue Zhou; Xiaopeng Lin; Yulong Huang; Haotian Fu; Jie Song; Bojun Cheng,2024,ICLR,Needs further check,Needs further check,SpikePoint,yes,06-reading-summaries/v2/papers/2024-ICLR-spikepoint-an-efficient-point-based-spiking-neural-network-for-event-cameras-action-recognition-v2.md,source PDF front matter,verified_from_pdf,NA
2024-ICML-clif-complementary-lif-neuron,CLIF: Complementary Leaky Integrate-and-Fire Neuron for Spiking Neural Networks,Yulong Huang; Xiaopeng Lin; Hongwei Ren; Haotian Fu; Yue Zhou; Zunchang Liu; Biao Pan; Bojun Cheng,2024,ICML,Needs further check,Needs further check,CLIF,yes,06-reading-summaries/v2/papers/2024-ICML-clif-complementary-leaky-integrate-and-fire-neuron-for-spiking-neural-networks-v2.md,source PDF front matter,verified_from_pdf,NA
2024-nature-communications-speck-smart-event-based-vision-sensor,Speck: A Smart Event-Based Vision Sensor with a Low Latency 327K Neuron Convolutional Neuronal Network Processing Pipeline,Ole Richter; Yannan Xing; Michele De Marchi; Carsten Nielsen; Merkourios Katsimpris; Roberto Cattaneo; Yudi Ren; Yalun Hu; Qian Liu; Sadique Sheik; Tugba Demirci; Ning Qiao,2024,Nature Communications,10.1038/s41467-024-47811-6,https://doi.org/10.1038/s41467-024-47811-6,Speck | Speck2e,no,NA,source PDF bibliography + official arXiv metadata,verified_from_official_source,Source PDF cites the 2023 arXiv preprint; registry is normalized to the 2024 journal version
2024-NeurIPS-continuous-spatiotemporal-events-decoupling,Continuous Spatiotemporal Events Decoupling through Spike-based Bayesian Computation,Yajing Zheng; Jiyuan Zhang; Zhaofei Yu; Tiejun Huang,2024,NeurIPS,Needs further check,Needs further check,NA,yes,06-reading-summaries/v2/papers/2024-NeurIPS-continuous-spatiotemporal-events-decoupling-through-spike-based-bayesian-computation-v2.md,source PDF front matter,verified_from_pdf,NA
2024-NeurIPS-spikeslicer,Spiking Neural Network as Adaptive Event Stream Slicer,Jiahang Cao; Mingyuan Sun; Ziqing Wang; Hao Cheng; Qiang Zhang; Shibo Zhou; Renjing Xu,2024,NeurIPS,Needs further check,Needs further check,SpikeSlicer,yes,06-reading-summaries/v2/papers/2024-NeurIPS-spiking-neural-network-as-adaptive-event-stream-slicer-v2.md,source PDF front matter,verified_from_pdf,NA
2024-TCSVT-event-voxel-set-transformer,Event Voxel Set Transformer for Spatiotemporal Representation Learning on Event Streams,Bochen Xie; Yongjian Deng; Zhanpeng Shao; Qingsong Xu; Youfu Li,2024,TCSVT,Needs further check,Needs further check,EVSTr,no,06-reading-summaries/v2/papers/2024-TCSVT-event-voxel-set-transformer-for-spatiotemporal-representation-learning-on-event-streams-v2.md,source PDF front matter,verified_from_pdf,NA
2023-ACMMM-ttpoint,TTPOINT: A Tensorized Point Cloud Network for Lightweight Action Recognition with Event Cameras,Hongwei Ren; Yue Zhou; Bojun Cheng,2023,ACMMM,Needs further check,Needs further check,TTPOINT,no,06-reading-summaries/v2/papers/2023-ACMMM-ttpoint-tensorized-point-cloud-event-action-recognition-v2.md,source PDF front matter,verified_from_pdf,NA
2023-aaai-better-and-faster-adaptive-event-conversion-for-event-based-object-detection,Better and Faster: Adaptive Event Conversion for Event-based Object Detection,Yansong Peng; Yueyi Zhang; Peilin Xiao; Xiaoyan Sun; Feng Wu,2023,AAAI,Needs further check,Needs further check,TAF | adaptive event conversion,no,NA,source PDF bibliography,verified_from_pdf,NA
2023-cvpr-hierarchical-neural-memory-network-for-low-latency-event-process,Hierarchical Neural Memory Network for Low Latency Event Processing,Ryuhei Hamaguchi; Yasutaka Furukawa; Masaki Onishi; Kohei Sakurada,2023,CVPR,Needs further check,Needs further check,HMNet,no,NA,source PDF bibliography,verified_from_pdf,NA
2023-cvpr-recurrent-vision-transformers-for-object-detection-with-event-ca,Recurrent Vision Transformers for Object Detection with Event Cameras,Mathias Gehrig; Davide Scaramuzza,2023,CVPR,Needs further check,Needs further check,RVT,no,NA,source PDF bibliography,verified_from_pdf,NA
2023-iccv-deep-directly-trained-spiking-neural-networks-object-detection,Deep Directly-Trained Spiking Neural Networks for Object Detection,Qiaoyi Su; Yuhong Chou; Yifan Hu; Jianing Li; Shijie Mei; Ziyang Zhang; Guoqi Li,2023,ICCV,10.1109/ICCV51070.2023.00603,https://doi.org/10.1109/ICCV51070.2023.00603,EMS-YOLO,no,NA,source PDF bibliography + Crossref DOI metadata,verified_from_official_source,NA
2023-iccv-from-chaos-comes-order-ordering-event-representations-for-object,From Chaos Comes Order: Ordering Event Representations for Object Recognition and Detection,Nikola Zubić; Daniel Gehrig; Mathias Gehrig; Davide Scaramuzza,2023,ICCV,Needs further check,Needs further check,ERGO-12 | Event Representation through Gromov-Wasserstein Barycenter and Reinforcement Learning,no,NA,source PDF bibliography,verified_from_pdf,NA
2023-iclr-associative-memory-augmented-asynchronous-spatiotemporal-represe,Associative Memory Augmented Asynchronous Spatiotemporal Representation Learning for Event-based Perception,Uday Kamal; Sagnik Dash; Saibal Mukhopadhyay,2023,ICLR,Needs further check,Needs further check,EventFormer,no,NA,source PDF bibliography,verified_from_pdf,NA
2023-iclr-simplified-state-space-layers-for-sequence-modeling,Simplified State Space Layers for Sequence Modeling,Jimmy T. H. Smith; Andrew Warrington; Scott Linderman,2023,ICLR,Needs further check,Needs further check,S5,no,NA,source PDF bibliography,verified_from_pdf,NA
2023-information-sciences-eventmix-an-efficient-data-augmentation-strategy-for-event-based,EventMix: An Efficient Data Augmentation Strategy for Event-Based Learning,Guobin Shen; Dongcheng Zhao; Yi Zeng,2023,Information Sciences,Needs further check,Needs further check,EventMix,no,NA,source PDF bibliography,verified_from_pdf,NA
2023-neurips-spatial-learning-through-time-efficient-training-of-deep-spiking,Spatial Learning Through Time: Efficient Training of Deep Spiking Neural Networks,Qiang Meng; Mingqing Xiao; Shen Yan; Yisen Wang; Zhouchen Lin; Zhi-Quan Luo,2023,NeurIPS,Needs further check,Needs further check,SLTT,no,NA,source PDF bibliography,verified_from_pdf,NA
2023-TCSVT-vmst-net,Voxel-Based Multi-Scale Transformer Network for Event Stream Processing,Daikun Liu; Teng Wang; Changyin Sun,2023,TCSVT,Needs further check,Needs further check,VMST-Net,no,06-reading-summaries/v2/papers/2023-TCSVT-vmst-net-voxel-based-multi-scale-transformer-event-stream-processing-v2.md,source PDF front matter,verified_from_pdf,NA
2023-TPAMI-action-recognition-benchmark-event-cameras,Action Recognition and Benchmark Using Event Cameras,Yue Gao; Jiaxuan Lu; Siqi Li; Nan Ma; Shaoyi Du; Yipeng Li; Qionghai Dai,2023,TPAMI,Needs further check,Needs further check,EV-ACT,no,06-reading-summaries/v2/papers/2023-TPAMI-action-recognition-benchmark-event-cameras-v2.md,source PDF front matter,verified_from_pdf,NA
2023-tpami-learning-to-see-through-with-events,Learning to See Through with Events,Lei Yu; Xinyu Zhang; Wei Liao; Wen Yang; Gui-Song Xia,2023,TPAMI,Needs further check,Needs further check,Refocus+Hybrid | Event-based Synthetic Aperture Imaging with a Hand-held Camera,no,NA,source PDF bibliography,verified_from_pdf,NA
2023-arxiv-exploiting-high-performance-spiking-neural-networks-efficient-spiking-patterns,Exploiting High Performance Spiking Neural Networks with Efficient Spiking Patterns,Guobin Shen; Dongcheng Zhao; Yi Zeng,2023,arXiv,Needs further check,Needs further check,Efficient Spiking Patterns | burst neuron,no,NA,source PDF bibliography [33],verified_from_pdf,NA
2023-arxiv-optimal-ann-snn-conversion-high-accuracy-ultra-low-latency,Optimal ANN-SNN Conversion for High-Accuracy and Ultra-Low-Latency Spiking Neural Networks,Tong Bu; Wei Fang; Jianhao Ding; PengLin Dai; Zhaofei Yu; Tiejun Huang,2023,arXiv,Needs further check,https://arxiv.org/abs/2303.04347,QCFS,no,NA,source PDF bibliography,verified_from_pdf,NA
2023-arxiv-seenn-temporal-spiking-early-exit,SEENN: Towards Temporal Spiking Early-Exit Neural Networks,Yuhang Li; Tamar Geller; Youngeun Kim; Priyadarshini Panda,2023,arXiv,Needs further check,https://arxiv.org/abs/2304.01230,SEENN | SEENN-I | SEENN-II,no,NA,source PDF bibliography,verified_from_pdf,NA
2022-cvpr-pokebnn-binary-pursuit-lightweight-accuracy,PokeBNN: A Binary Pursuit of Lightweight Accuracy,Yichi Zhang; Zhiru Zhang; Lukasz Lew,2022,CVPR,Needs further check,Needs further check,PokeBNN,no,NA,source PDF bibliography [40],verified_from_pdf,NA
2022-iclr-efficiently-modeling-long-sequences-with-structured-state-spaces,Efficiently Modeling Long Sequences with Structured State Spaces,Albert Gu; Karan Goel; Christopher Ré,2022,ICLR,Needs further check,Needs further check,S4,no,NA,source PDF bibliography,verified_from_pdf,NA
2022-ijcnn-object-detection-with-spiking-neural-networks-on-automotive-even,Object Detection with Spiking Neural Networks on Automotive Event Data,Luca Cordone; Benoît Miramond; Philippe Thierion,2022,IJCNN,Needs further check,Needs further check,Spiking DenseNet for Event-based Object Detection,no,NA,source PDF bibliography,verified_from_pdf,NA
2022-neurips-glif-a-unified-gated-leaky-integrate-and-fire-neuron-for-spiking,GLIF: A Unified Gated Leaky Integrate-and-Fire Neuron for Spiking Neural Networks,Xinyu Yao; Fanrong Li; Zitao Mo; Jian Cheng,2022,NeurIPS,Needs further check,Needs further check,GLIF,no,NA,source PDF bibliography,verified_from_pdf,NA
2022-neurips-on-the-parameterization-and-initialization-of-diagonal-state-spa,On the Parameterization and Initialization of Diagonal State Space Models,Albert Gu; Karan Goel; Ankit Gupta; Christopher Ré,2022,NeurIPS,Needs further check,Needs further check,S4D,no,NA,source PDF bibliography,verified_from_pdf,NA
2022-tip-asynchronous-spatio-temporal-memory-network-for-continuous-event,Asynchronous Spatio-Temporal Memory Network for Continuous Event-Based Object Detection,Jia Li; Jia Li; Lin Zhu; Xiao Xiang; Tiejun Huang; Yonghong Tian,2022,TIP,Needs further check,Needs further check,ASTMNet,no,NA,source PDF bibliography,verified_from_pdf,NA
2022-arxiv-spikformer-when-spiking-neural-network-meets-transformer,Spikformer: When Spiking Neural Network Meets Transformer,Zhaokun Zhou; Yuesheng Zhu; Chao He; Yaowei Wang; Shuicheng Yan; Yonghong Tian; Li Yuan,2022,arXiv,Needs further check,Needs further check,Spikformer,no,NA,source PDF bibliography [44],verified_from_pdf,NA
2022-arxiv-temporal-efficient-training-spiking-neural-network,Temporal Efficient Training of Spiking Neural Network via Gradient Re-Weighting,Shikuang Deng; Yuhang Li; Shanghang Zhang; Shi Gu,2022,arXiv,Needs further check,https://arxiv.org/abs/2202.11946,TET,no,NA,source PDF bibliography,verified_from_pdf,NA
2021-cvpr-event-based-synthetic-aperture-imaging-with-a-hybrid-network,Event-based Synthetic Aperture Imaging with a Hybrid Network,Xinyu Zhang; Wei Liao; Lei Yu; Wen Yang; Gui-Song Xia,2021,CVPR,Needs further check,Needs further check,Hybrid E-SAI reconstruction | Hybrid,no,NA,source PDF bibliography,verified_from_pdf,NA
2021-iccv-incorporating-learnable-membrane-time-constant-to-enhance-learni,Incorporating Learnable Membrane Time Constant to Enhance Learning of Spiking Neural Networks,Wei Fang; Zhaofei Yu; Yanqi Chen; Timothée Masquelier; Tiejun Huang; Yonghong Tian,2021,ICCV,Needs further check,Needs further check,PLIF | Parametric Leaky Integrate-and-Fire Spiking Neuron,no,NA,source PDF bibliography,verified_from_pdf,NA
2021-ijcai-event-based-action-recognition-using-motion-information-and-spik,Event-based Action Recognition Using Motion Information and Spiking Neural Networks,Qianhui Liu; Dong Xing; Huajin Tang; De Ma; Gang Pan,2021,IJCAI,Needs further check,Needs further check,DailyAction,no,NA,source PDF bibliography,verified_from_pdf,NA
2021-scientific-reports-visual-explanations-spiking-neural-networks-inter-spike-intervals,Visual Explanations from Spiking Neural Networks Using Inter-Spike Intervals,Youngeun Kim; Priyadarshini Panda,2021,Scientific Reports,10.1038/s41598-021-98448-0,https://doi.org/10.1038/s41598-021-98448-0,SAM,no,NA,source PDF bibliography + Crossref DOI metadata,verified_from_official_source,NA
2021-tnnls-event-based-motion-segmentation-with-spatio-temporal-graph-cuts,Event-based Motion Segmentation with Spatio-temporal Graph Cuts,Yi Zhou; Guillermo Gallego; Xiuyuan Lu; Siqi Liu; Shaojie Shen,2021,TNNLS,Needs further check,Needs further check,NA,no,NA,source PDF bibliography,verified_from_pdf,NA
2021-tnnls-exploring-adversarial-attack-in-spiking-neural-networks-with-spi,Exploring Adversarial Attack in Spiking Neural Networks with Spike-Compatible Gradient,Ling Liang; Xing Hu; Lei Deng; Yujie Wu; Guoqi Li; Yuan Xie,2021,TNNLS,Needs further check,Needs further check,Spike-Compatible | Spike-Compatible Adversarial Attacks on Spiking Neural Networks,no,NA,source PDF bibliography,verified_from_pdf,NA
2021-tnnls-spiking-deep-residual-networks,Spiking Deep Residual Networks,Yangfan Hu; Huajin Tang; Gang Pan,2021,TNNLS,Needs further check,Needs further check,Spiking ResNet,no,NA,source PDF bibliography [13],verified_from_pdf,NA
2021-arxiv-adversarial-attacks-on-spiking-convolutional-neural-networks-for,Adversarial Attacks on Spiking Convolutional Neural Networks for Event-based Vision,Jonas Büchel; Gregor Lenz; Yuhuang Hu; Sadique Sheik; Martino Sorbaro,2021,arXiv,Needs further check,Needs further check,SpikeFool,no,NA,source PDF bibliography,verified_from_pdf,NA
2020-eccv-matrix-lstm-a-differentiable-recurrent-surface-for-asynchronous,Matrix-LSTM: A Differentiable Recurrent Surface for Asynchronous Event-Based Data,Marco Cannici; Marco Ciccone; Andrea Romanoni; Matteo Matteucci,2020,ECCV,Needs further check,Needs further check,Matrix-LSTM,no,NA,source PDF bibliography,verified_from_pdf,NA
2020-wacv-fast-image-reconstruction-with-an-event-camera,Fast Image Reconstruction with an Event Camera,Cedric Scheerlinck; Henri Rebecq; Daniel Gehrig; Nick Barnes; Robert E. Mahony; Davide Scaramuzza,2020,WACV,Needs further check,Needs further check,FireNet,no,NA,source PDF bibliography,verified_from_pdf,NA
2019-cvpr-eventnet-asynchronous-recursive-event-processing,EventNet: Asynchronous Recursive Event Processing,Yusuke Sekikawa; Kosuke Hara; Hideo Saito,2019,CVPR,Needs further check,Needs further check,EventNet,no,NA,source PDF bibliography,verified_from_pdf,NA
2019-cvpr-events-to-video-bringing-modern-computer-vision-to-event-cameras,Events-to-Video: Bringing Modern Computer Vision to Event Cameras,Henri Rebecq; René Ranftl; Vladlen Koltun; Davide Scaramuzza,2019,CVPR,Needs further check,Needs further check,E2VID,no,NA,source PDF bibliography,verified_from_pdf,NA
2019-cvpr-modeling-point-clouds-with-self-attention-and-gumbel-subset-samp,Modeling Point Clouds with Self-Attention and Gumbel Subset Sampling,Jiancheng Yang; Qiang Zhang; Bingbing Ni; Linguo Li; Jinxian Liu; Mengdie Zhou; Qi Tian,2019,CVPR,Needs further check,Needs further check,PAT,no,NA,source PDF bibliography,verified_from_pdf,NA
2019-cvprw-real-time-6dof-pose-relocalization-for-event-cameras-with-stacke,Real-time 6DOF Pose Relocalization for Event Cameras with Stacked Spatial LSTM Networks,Anh Nguyen; Thanh-Toan Do; Darwin G. Caldwell; Nikos G. Tsagarakis,2019,CVPRW,Needs further check,Needs further check,SP-LSTM,no,NA,source PDF bibliography,verified_from_pdf,NA
2019-iccv-end-to-end-learning-of-representations-for-asynchronous-event-ba,End-to-End Learning of Representations for Asynchronous Event-Based Data,Daniel Gehrig; Antonio Loquercio; Konstantinos G. Derpanis; Davide Scaramuzza,2019,ICCV,Needs further check,Needs further check,EST | Event Spike Tensor,no,NA,source PDF bibliography,verified_from_pdf,NA
2019-iccv-slowfast-networks-for-video-recognition,SlowFast Networks for Video Recognition,Christoph Feichtenhofer; Haoqi Fan; Jitendra Malik; Kaiming He,2019,ICCV,Needs further check,Needs further check,SlowFast,no,NA,source PDF bibliography,verified_from_pdf,NA
2019-wacv-space-time-event-clouds-for-gesture-recognition-from-rgb-cameras,Space-Time Event Clouds for Gesture Recognition: From RGB Cameras to Event Cameras,Qinyi Wang; Yexin Zhang; Junsong Yuan; Yilong Lu,2019,WACV,Needs further check,Needs further check,ST-EVNet,no,NA,source PDF bibliography,verified_from_pdf,NA
2018-cvpr-a-unifying-contrast-maximization-framework-for-event-cameras-wit,"A Unifying Contrast Maximization Framework for Event Cameras, with Applications to Motion, Depth, and Optical Flow Estimation",Guillermo Gallego; Henri Rebecq; Davide Scaramuzza,2018,CVPR,Needs further check,Needs further check,NA,no,NA,source PDF bibliography,verified_from_pdf,NA
2018-frontiers-spatio-temporal-backpropagation-high-performance-snn,Spatio-Temporal Backpropagation for Training High-Performance Spiking Neural Networks,Yujie Wu; Lei Deng; Guoqi Li; Jun Zhu; Luping Shi,2018,Frontiers in Neuroscience,Needs further check,Needs further check,STBP,no,NA,source PDF bibliography,verified_from_pdf,NA
2017-cvpr-a-low-power-fully-event-based-gesture-recognition-system,"A Low Power, Fully Event-Based Gesture Recognition System",Arnon Amir; Brian Taba; David Berg; Timothy Melano; Jeffrey McKinstry; Carmelo Di Nolfo; Tapan Nayak; Alexander Andreopoulos; Guillaume Garreau; Marcela Mendoza; Jeff Kusnitz; Michael Debole; Steven Esser; Tobi Delbrück; Myron Flickner; Dharmendra Modha,2017,CVPR,Needs further check,Needs further check,DVS128 Gesture,no,NA,source PDF bibliography,verified_from_pdf,NA
2017-neurips-pointnet-deep-hierarchical-feature-learning-on-point-sets-in-a-m,PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space,Charles Ruizhongtai Qi; Li Yi; Hao Su; Leonidas J. Guibas,2017,NeurIPS,Needs further check,Needs further check,PointNet++,no,NA,source PDF bibliography,verified_from_pdf,NA
2016-arxiv-binarized-neural-networks-training-deep-neural-networks,Binarized Neural Networks: Training Deep Neural Networks with Weights and Activations Constrained to +1 or -1,Matthieu Courbariaux; Itay Hubara; Daniel Soudry; Ran El-Yaniv; Yoshua Bengio,2016,arXiv,Needs further check,Needs further check,BNN | Binarized Neural Networks,no,NA,source PDF bibliography [3],verified_from_pdf,NA
2016-arxiv-categorical-reparameterization-with-gumbel-softmax,Categorical Reparameterization with Gumbel-Softmax,Eric Jang; Shixiang Gu; Ben Poole,2016,arXiv,Needs further check,Needs further check,Gumbel-Softmax,no,NA,source PDF bibliography,verified_from_pdf,NA
2016-arxiv-dorefa-net-low-bitwidth-convolutional-neural-networks,DoReFa-Net: Training Low Bitwidth Convolutional Neural Networks with Low Bitwidth Gradients,Shuchang Zhou; Yuxin Wu; Zekun Ni; Xinyu Zhou; He Wen; Yuheng Zou,2016,arXiv,Needs further check,Needs further check,DoReFa-Net,no,NA,source PDF bibliography [43],verified_from_pdf,NA
